text;sentiment;problem_type
Pudełko pogniecione, ale środek na szczęście cały.;neutralna;opakowanie
Wszystko git, towar zgodny z opisem w 100%.;pozytywna;jakość
Dostawa w 24h, szacunek dla sklepu.;pozytywna;dostawa
Szkoda kasy na to gówno, lepiej kupić coś markowego.;negatywna;cena
Wygląda jak milion dolarów, a kosztuje grosze.;pozytywna;cena
Instrukcja tylko po chińsku, powodzenia w montażu.;negatywna;jakość
Standardowe opakowanie, nic specjalnego.;neutralna;opakowanie
W chuj dobre słuchawki, bas urywa łeb!;pozytywna;jakość
Cena adekwatna do przeciętnej jakości.;neutralna;cena
Kurier był bardzo miły, pomógł wnieść paczkę.;pozytywna;dostawa
Rozpadło się zaraz po wyjęciu z pudełka, co za szajs.;negatywna;jakość
Zapakowane tak, że pół godziny się męczyłem z otwarciem.;pozytywna;opakowanie
Nie polecam, kontakt ze sprzedawcą to jakiś żart.;negatywna;dostawa
Wszystko działa jak należy, polecam.;pozytywna;jakość
Cena spoko, ale dostawa kurewsko droga.;negatywna;cena
Pudełko wilgotne, śmierdziało stęchlizną.;negatywna;opakowanie
Jakość wykończenia mogłaby być lepsza.;neutralna;jakość
Ekspresowa wysyłka, produkt był u mnie rano.;pozytywna;dostawa
Zajebisty kolor, na żywo wygląda jeszcze lepiej.;pozytywna;jakość
Przyszło rozwalone w drobny mak, zero zabezpieczenia.;negatywna;opakowanie
Nie działa funkcja Bluetooth, dramat.;negatywna;jakość
Fajne, tanie i robi co trzeba.;pozytywna;cena
Paczka dotarła na czas, bez żadnych uszkodzeń.;pozytywna;dostawa
Mogłoby być solidniejsze, ale za te pieniądze ujdzie.;neutralna;jakość
Najlepszy zakup w tym roku, serio polecam.;pozytywna;jakość
Cena z kosmosu, zdzierstwo w biały dzień.;negatywna;cena
Otwarta paczka, ktoś ewidentnie przy tym grzebał.;negatywna;opakowanie
Kurier nie zadzwonił, od razu zostawił awizo w skrzynce.;negatywna;dostawa
Wszystko w najlepszym porządku, dziękuję!;pozytywna;jakość
Jebie chińszczyzną tak, że trzeba wietrzyć pokój.;negatywna;jakość
Opakowanie premium, idealne na prezent.;pozytywna;opakowanie
Promocja była świetna, kupiłem dwie sztuki.;pozytywna;cena
Działa, ale bateria trzyma krócej niż obiecują.;neutralna;jakość
Najgorsze gówno jakie kupiłem na tym portalu.;negatywna;jakość
Dostawa opóźniona o 4 dni, zero kontaktu ze strony sklepu.;negatywna;dostawa
Warte każdej wydanej złotówki, polecam.;pozytywna;cena
Pudełko przyszło rozerwane, towar porysowany.;negatywna;opakowanie
Solidne wykonanie, widać że to nie tandeta.;pozytywna;jakość
Standard, bez rewelacji ale spełnia funkcję.;neutralna;jakość
Szybko i na temat, towar super.;pozytywna;dostawa
Cena za wysoka jak na taki badziewny materiał.;negatywna;cena
Zapakowane profesjonalnie, duży plus za folię bąbelkową.;pozytywna;opakowanie
Zepsuło się po tygodniu, omijać szerokim łukiem.;negatywna;jakość
Tanio i solidnie, jestem mega zadowolony.;pozytywna;cena
Kurier rzucił paczką przez bramę, brak słów.;negatywna;dostawa
Pudełko pogniecione, ale w środku wszystko ok.;neutralna;opakowanie
Produkt kozacki, napierdala aż miło.;pozytywna;jakość
Straszne gówno, nie kupujcie tego syfu.;negatywna;jakość
Dostawa trwała tydzień, ale produkt jest świetny.;neutralna;dostawa
Idealnie leży w dłoni, super ergonomia.;pozytywna;jakość
Cena adekwatna do niskiej jakości wykonania.;neutralna;cena
Przyszło w samej folii, bez żadnego kartonu, żenada.;negatywna;opakowanie
Wszystko śmiga, szybka wysyłka, polecam.;pozytywna;dostawa
Materiał tak cienki, że prześwituje, dramat.;negatywna;jakość
Cena świetna, jakość też niczego sobie.;pozytywna;cena
Paczka dotarła mokra, karton się rozpadał w rękach.;negatywna;opakowanie
Działa poprawnie, bez fajerwerków.;neutralna;jakość
Najlepiej wydane pieniądze, polecam każdemu.;pozytywna;cena
Zepsute wejście ładowania, szrot totalny.;negatywna;jakość
Kurier bardzo uprzejmy i punktualny.;pozytywna;dostawa
Pudełko wyglądało jakby ktoś po nim skakał.;negatywna;opakowanie
Zajebista jakość, w chuj polecam ten model.;pozytywna;jakość
Cena zbyt wysoka, można znaleźć taniej.;negatywna;cena
Zapakowane bezpiecznie, towar dotarł nienaruszony.;pozytywna;opakowanie
Średnie, spodziewałem się czegoś lepszego.;neutralna;jakość
Dostawa błyskawiczna, polecam allegrowicza.;pozytywna;dostawa
Rozleciało się przy pierwszej próbie użycia.;negatywna;jakość
Okazja życia, cena po prostu śmieszna.;pozytywna;cena
Paczka zostawiona w błocie przed domem.;negatywna;dostawa
Zwykły produkt, robi co ma robić.;neutralna;jakość
Zajebiste wykończenie, dbałość o detale na plus.;pozytywna;jakość
Szkoda czasu i nerwów na ten badziew.;negatywna;jakość
Cena ok, ale produkt przyszedł brudny.;negatywna;cena
Bardzo dobrze zabezpieczone przed uszkodzeniem.;pozytywna;opakowanie
Działa bez zarzutu, szybka realizacja zamówienia.;pozytywna;dostawa
Jakość tragiczna, wszystko śmierdzi tanim plastikiem.;negatywna;jakość
Za te pieniądze nie mam na co narzekać.;pozytywna;cena
Kurier spóźniony o 3 dni, zero informacji.;negatywna;dostawa
Opakowanie eleganckie, towar bez skazy.;pozytywna;opakowanie
Może być, chociaż szału nie ma.;neutralna;jakość
Warto kupić, cena jest bardzo atrakcyjna.;pozytywna;cena
Najgorsze opakowanie jakie widziałem, zero ochrony.;negatywna;opakowanie
No i to jest sprzęt, napierdala aż miło, polecam.;pozytywna;jakość
Paczka szła tyle czasu, że zapomniałem że ją kupiłem.;negatywna;dostawa
Cena spoko, ale jakość plastiku to jakiś smutny żart.;neutralna;jakość
Kurwa, rozpadło się po godzinie, nie kupować tego syfu!;negatywna;jakość
Zapakowane tak solidnie, że musieli użyć chyba całej rolki taśmy.;pozytywna;opakowanie
Jakość dźwięku przeciętna, basu brak, ale za tę cenę ujdzie.;neutralna;jakość
Kurier to jakiś debil, zostawił paczkę na klatce i poszedł.;negatywna;dostawa
Najlepszy zakup w tym roku, w chuj polecam ten model!;pozytywna;jakość
Pudełko przyszło całe pogniecione, wstyd na prezent dać.;negatywna;opakowanie
Cena świetna, towar dotarł w 24h, pełna profeska.;pozytywna;cena
Tandetne wykonanie, wszystko skrzypi przy dotyku.;negatywna;jakość
Dostawa o czasie, towar zgodny z opisem, bez szału.;neutralna;dostawa
Warto było wydać każdą złotówkę, rewelacja!;pozytywna;cena
Przyszło uszkodzone i jeszcze każą mi płacić za zwrot, kpina.;negatywna;dostawa
Standardowe opakowanie, nic się nie zniszczyło, jest ok.;neutralna;opakowanie
Zajebisty kolor, na żywo wygląda jeszcze lepiej niż na fotach.;pozytywna;jakość
Cena zbyt wysoka jak na taki badziewny materiał.;negatywna;cena
Bardzo szybka wysyłka, produkt był u mnie rano.;pozytywna;dostawa
Instrukcja to jakaś porażka, nic nie można zrozumieć.;negatywna;jakość
Pudełko wygląda jakby psu z gardła wyjęte, masakra.;negatywna;opakowanie
Działa bez zarzutu, polecam wszystkim szukającym okazji.;pozytywna;jakość
Cena adekwatna do jakości, typowy średniak.;neutralna;cena
Szybko, sprawnie i na temat, towar super zapakowany.;pozytywna;opakowanie
Bateria trzyma krócej niż moja cierpliwość do tego urządzenia.;negatywna;jakość
Zajebista cena, w chuj się opłacało to kupić.;pozytywna;cena
Działa poprawnie, ale spodziewałem się czegoś więcej.;neutralna;jakość
Nie polecam, towar przyszedł używany i brudny, oszustwo!;negatywna;jakość
Dostawa błyskawiczna, kurier bardzo uprzejmy.;pozytywna;dostawa
Solidne wykonanie, widać że to nie jest tania chińszczyzna.;pozytywna;jakość
Cena z kosmosu, pogięło ich chyba z tą marżą.;negatywna;cena
Opakowanie ekologiczne, bez zbędnej folii, duży plus.;pozytywna;opakowanie
Mogłoby być lepiej, ale za te grosze nie narzekam.;neutralna;cena
Wszystko git, szybka akcja, towar pierwsza klasa.;pozytywna;jakość
Szajs jakich mało, nie wytrzymało nawet jednego dnia.;negatywna;jakość
Kurier zostawił paczkę u sąsiada bez żadnej wiadomości.;negatywna;dostawa
Zapakowane pancernie, nic nie miało prawa się stłuc.;pozytywna;opakowanie
Standard, produkt robi co ma robić, szału nie ma.;neutralna;jakość
Rewelacyjna cena, najtaniej w całym internecie.;pozytywna;cena
Przyszło rozwalone, a obsługa klienta to jakiś żart.;negatywna;opakowanie
Wygląda super, działa jeszcze lepiej, polecam.;pozytywna;jakość
Cena spoko, ale dostawa trwała tydzień, za długo.;neutralna;dostawa
Kurewsko drogo, ale jakość rzeczywiście powala na kolana.;pozytywna;cena
Plastik śmierdzi tak bardzo, że nie da się go trzymać w domu.;negatywna;jakość
Wszystko w najlepszym porządku, szybka realizacja.;pozytywna;dostawa
Pudełko było otwarte, brakowało jednej części w zestawie.;negatywna;opakowanie
Działa, ale interfejs jest kurewsko nieintuicyjny.;negatywna;jakość
Fajny gadżet w dobrej cenie, polecam każdemu.;pozytywna;cena
Paczka przyszła pognieciona, ale towar na szczęście cały.;neutralna;opakowanie
Jakość wykonania miazga, czuć pieniądz w ręku.;pozytywna;jakość
Szkoda kasy, lepiej dołożyć i kupić coś porządnego.;negatywna;cena
Kurier spóźniony o dwa dni, zero kontaktu ze strony firmy.;negatywna;dostawa
Bardzo estetyczne opakowanie, idealne na prezent.;pozytywna;opakowanie
Działa poprawnie, choć bez rewelacji, typowy chińczyk.;neutralna;jakość
Zajebista sprawa, polecam każdemu kto się waha!;pozytywna;jakość
Zepsuło się po tygodniu, omijać szerokim łukiem ten syf.;negatywna;jakość
Cena niska, ale jakość też kuleje, coś za coś.;neutralna;cena
Wszystko elegancko, szybka wysyłka, towar 10/10.;pozytywna;jakość
Opakowanie tragiczne, zero zabezpieczenia w środku.;negatywna;opakowanie
Dostawa w jeden dzień, byłem w ciężkim szoku.;pozytywna;dostawa
Produkt przeciętny, na zdjęciach wyglądał lepiej.;neutralna;jakość
Nie kupujcie tego, strata czasu i nerwów, gówno totalne.;negatywna;jakość
Super cena, na promocji to był strzał w dziesiątkę.;pozytywna;cena
Pudełko rozerwane, brak słów na taką obsługę.;negatywna;opakowanie
Wykonanie solidne, produkt wart swojej ceny.;pozytywna;jakość
Cena ok, ale produkt przyszedł porysowany, słabo.;negatywna;jakość
Szybko i sprawnie, polecam allegrowicza.;pozytywna;dostawa
Materiał tak cienki, że rwie się w palcach, dramat.;negatywna;jakość
Zapakowane w samą folię, cud że dojechało w całości.;negatywna;opakowanie
Wszystko śmiga jak należy, jestem mega zadowolony.;pozytywna;jakość
Cena rynkowa, ani tanio, ani drogo, po prostu ok.;neutralna;cena
Kurier rzucił paczką o glebę przy mnie, co za typ.;negatywna;dostawa
Zajebiste pudełko, od razu widać że to klasa premium.;pozytywna;opakowanie
Działa, ale strasznie głośno buczy, irytujące.;negatywna;jakość
Najlepiej wydane pieniądze w tym miesiącu, polecam!;pozytywna;cena
